A	B	C	D	E	F	G	H	I	J
83.52	-26.89349	-23.86203	-20.4457	-17.77576	-14.26649	-11.12174	-8.54341	-6.08615	-2.48953
83.568	-26.92523	-23.8814	-20.24117	-17.74546	-14.58926	-11.09139	-8.48582	-6.00923	-2.47229
83.616	-26.9755	-23.82654	-20.46034	-17.64945	-14.59937	-11.17169	-8.39769	-5.90205	-2.55597
83.664	-26.95419	-23.75388	-20.69513	-17.71158	-14.71785	-11.47163	-8.16735	-5.71727	-2.51779
83.712	-26.89566	-23.7252	-20.79711	-17.72576	-14.71961	-11.74	-8.14099	-5.71143	-2.49977
83.76	-26.93908	-23.87139	-20.76996	-17.40336	-14.66433	-11.85478	-8.32726	-5.87351	-2.62464
83.808	-26.93584	-23.90684	-20.75833	-16.9665	-14.73045	-11.8494	-8.41664	-5.75679	-2.78028
83.856	-26.90322	-23.86504	-20.76204	-16.77092	-14.75709	-11.8494	-8.24214	-5.64415	-2.90414
83.904	-26.9059	-23.86704	-20.37189	-16.99282	-14.79291	-11.78532	-8.33727	-5.46353	-2.89297
83.952	-26.947	-23.93251	-20.03665	-17.26597	-14.74301	-11.81859	-8.63664	-5.36261	-3.10278
84	-26.95544	-23.98751	-20.27671	-17.48171	-14.49951	-11.81502	-8.89075	-5.44115	-3.14495
84.048	-26.96999	-23.87728	-20.54783	-17.63212	-14.36004	-11.78222	-8.97017	-5.4848	-3.08902
84.096	-26.97022	-23.79869	-20.73882	-17.76682	-13.80276	-11.76095	-9.1076	-5.4291	-3.08332
84.144	-27.00409	-23.901	-20.79331	-17.86385	-13.42832	-11.79	-9.1879	-5.50723	-3.00279
84.192	-27.02628	-23.99682	-20.80731	-17.88423	-13.66741	-11.76544	-9.15194	-5.62357	-2.94844
84.24	-27.01007	-23.9826	-20.68095	-17.91166	-14.08647	-11.54692	-9.14448	-5.80572	-3.09643
84.288	-27.00914	-23.92338	-20.02303	-17.69217	-14.47736	-11.26589	-9.14587	-5.91707	-3.15357
84.336	-26.96558	-23.94191	-19.78857	-17.3459	-14.66498	-11.15182	-9.14573	-5.99695	-3.15213
84.384	-26.94529	-24.01642	-20.15763	-16.87448	-14.77174	-11.10696	-9.2264	-5.99973	-3.11214
84.432	-26.98583	-23.96999	-20.48082	-16.93407	-14.79565	-10.75981	-9.15366	-6.05288	-3.03115
84.48	-27.00733	-23.83353	-20.64402	-17.27005	-14.7943	-10.54556	-9.22441	-6.0615	-2.68974
84.528	-26.9704	-23.85105	-20.79753	-17.52944	-14.87567	-10.49686	-9.17391	-6.10121	-2.6625
84.576	-26.90317	-23.97069	-20.82695	-17.54325	-14.91714	-10.89326	-8.63298	-6.14768	-2.72839
84.624	-26.93625	-24.00183	-20.69652	-17.69231	-14.96093	-11.39781	-8.58882	-6.1126	-2.7953
84.672	-26.94056	-23.91768	-20.23469	-17.79939	-14.83142	-11.57672	-8.46886	-6.18294	-2.76712
84.72	-26.92722	-23.87269	-19.82892	-17.68925	-14.74625	-11.59789	-8.40997	-6.26496	-2.64725
84.768	-26.85971	-23.9313	-20.16088	-17.62026	-14.41458	-11.75196	-8.36516	-6.13939	-2.44152
84.816	-26.85734	-23.8681	-20.44909	-17.63416	-14.06154	-11.85876	-8.3102	-6.08962	-2.30636
84.864	-26.90836	-23.81569	-20.53453	-17.35123	-13.60074	-11.90899	-8.35756	-6.11247	-2.46172
84.912	-26.96711	-23.84438	-20.58198	-16.67218	-13.80281	-11.92743	-8.18074	-5.966	-2.69317
84.96	-26.98602	-23.89183	-20.54769	-16.18783	-14.09134	-11.89597	-8.35265	-5.94144	-2.84381
85.008	-27.0084	-23.98501	-20.33195	-16.51705	-14.53348	-11.8962	-8.42215	-5.80016	-2.84205
85.056	-26.98324	-23.95795	-19.97535	-17.01465	-14.77771	-11.90334	-8.67047	-5.68937	-2.71889
85.104	-26.97619	-23.96601	-19.54336	-17.32978	-14.84824	-11.87215	-8.84001	-5.61176	-2.68562
85.152	-26.94686	-23.99562	-20.05833	-17.56011	-14.93085	-11.7976	-8.94783	-5.44504	-2.59665
85.2	-26.91466	-23.97078	-20.49473	-17.71571	-14.81765	-11.59215	-9.03606	-5.33828	-2.68942
85.248	-26.94191	-23.9396	-20.7499	-17.75088	-14.77896	-11.48043	-9.14916	-5.63066	-2.82676
85.296	-26.95961	-23.92185	-20.84883	-17.79513	-14.80348	-11.26603	-9.27469	-5.84066	-3.04949
85.344	-26.95006	-23.94168	-20.78914	-17.64922	-14.77326	-11.08875	-9.27687	-5.77903	-3.18095
85.392	-26.93778	-23.95535	-20.82283	-17.6962	-14.9264	-11.05687	-9.27487	-5.46427	-3.1487
85.44	-26.95877	-23.93482	-20.45812	-17.46123	-14.94489	-10.88557	-9.30101	-5.39199	-3.13605
85.488	-26.93106	-23.98621	-20.01881	-16.83273	-14.62985	-10.87612	-9.24184	-5.45292	-3.1734
85.536	-26.88533	-23.94646	-20.09142	-16.45143	-14.13434	-11.13004	-9.18211	-5.74766	-3.22358
85.584	-26.88732	-23.88066	-20.42925	-16.78737	-13.6928	-11.4138	-9.16079	-5.88894	-3.10315
85.632	-26.91508	-23.97796	-20.68795	-17.20625	-13.34593	-11.76169	-9.15741	-6.03573	-3.06636
85.68	-26.92611	-24.01568	-20.89062	-17.54348	-13.49143	-11.8355	-9.04917	-6.21663	-3.11131
85.728	-26.91781	-23.99423	-20.93607	-17.65353	-14.04371	-11.90575	-8.97957	-6.27181	-3.16506
85.776	-26.92842	-23.97755	-20.71125	-17.67086	-14.52036	-11.9512	-8.8041	-6.22293	-3.11256
85.824	-26.98931	-23.87283	-20.31587	-17.59866	-14.69097	-11.94624	-8.68664	-6.2581	-3.18271
85.872	-27.00766	-23.71519	-19.93971	-17.58866	-14.66688	-11.86043	-8.34306	-6.2694	-3.19193
85.92	-27.02846	-23.67557	-20.05398	-17.75593	-14.52148	-11.907	-8.1067	-6.25801	-3.14142
85.968	-27.00571	-23.74438	-20.38482	-17.65394	-14.6129	-12.02437	-8.08566	-6.23623	-3.12349
86.016	-26.98115	-23.85249	-20.67604	-17.16723	-14.59886	-12.05194	-7.86645	-6.21769	-3.10148
86.064	-26.99065	-23.93158	-20.80226	-16.69456	-14.61345	-12.01362	-7.84374	-6.26866	-3.23081
86.112	-27.00293	-23.92834	-20.89414	-16.70962	-14.73944	-11.6901	-8.28342	-6.29174	-3.12646
86.16	-26.9977	-23.97055	-20.87714	-16.97369	-14.84536	-11.29314	-8.70299	-6.36148	-3.07438
86.208	-26.93945	-23.99863	-20.71167	-17.40484	-14.762	-11.15659	-8.95326	-6.34975	-2.81865
86.256	-26.97272	-23.97639	-20.49232	-17.69226	-14.38427	-10.96314	-9.09537	-6.22492	-2.53679
86.304	-26.9818	-23.96221	-20.34849	-17.77646	-14.12827	-10.98853	-9.08337	-6.13332	-2.62381
86.352	-26.99723	-24.01818	-20.6095	-17.87705	-13.916	-10.7435	-9.0949	-5.86772	-2.89079
86.4	-26.97494	-24.03857	-20.72557	-17.82622	-13.80498	-10.68549	-9.17418	-5.55968	-3.05232
86.448	-26.92527	-24.07175	-20.79026	-17.90226	-14.06762	-10.94099	-9.31875	-5.46779	-2.99139
86.496	-26.94886	-24.07907	-20.84493	-17.83377	-14.46393	-11.35101	-9.29007	-5.62455	-2.78543
86.544	-26.95201	-24.05391	-20.84544	-17.56456	-14.78346	-11.58065	-9.30059	-5.73283	-2.42836
86.592	-26.94969	-24.04594	-20.5267	-16.9172	-14.85931	-11.56439	-9.29628	-5.42994	-2.31952
86.64	-26.89951	-24.09774	-20.22463	-16.41511	-14.85977	-11.57528	-9.27603	-5.23811	-2.41502
86.688	-26.89798	-24.11623	-19.94926	-16.32656	-14.87372	-11.67013	-9.25272	-5.09785	-2.67454
86.736	-26.9318	-24.10099	-20.1523	-16.84066	-14.95634	-11.8064	-9.25657	-5.12389	-2.94427
86.784	-26.9458	-24.061	-20.46248	-17.27283	-15.00328	-11.90575	-9.15579	-5.46501	-3.08921
86.832	-26.93625	-24.07587	-20.64509	-17.54658	-14.96556	-11.97673	-9.00103	-5.66787	-3.17386
86.88	-26.9034	-24.07151	-20.70954	-17.56178	-14.92747	-12.04119	-8.57502	-5.81198	-3.15431
86.928	-26.85558	-24.05571	-20.77117	-17.61535	-14.91116	-12.11588	-8.45904	-5.92138	-3.20759
86.976	-26.87064	-24.02541	-20.83849	-17.69402	-14.54775	-12.10036	-8.40292	-6.04871	-3.27774
87.024	-26.88107	-23.95896	-20.78562	-17.7354	-13.88218	-11.89597	-8.59244	-6.22437	-3.35392
87.072	-26.95623	-23.96077	-20.34868	-17.73985	-13.5101	-11.59451	-8.36145	-6.33886	-3.26426
87.12	-26.95553	-24.00776	-19.96756	-17.56433	-13.37526	-11.33572	-8.21308	-6.37547	-3.23146
87.168	-26.89779	-24.04093	-19.97942	-17.03142	-13.61788	-11.00349	-8.27536	-6.26107	-3.16997
87.216	-26.90993	-24.04626	-20.28793	-16.63344	-14.09588	-10.84016	-8.33847	-6.21524	-3.11724
87.264	-26.94209	-24.00729	-20.51989	-16.62751	-14.46138	-10.84118	-8.74261	-6.23456	-3.18341
87.312	-26.95224	-24.05192	-20.67372	-16.97086	-14.68921	-10.69383	-9.02749	-6.32519	-3.29457
87.36	-26.98917	-24.1141	-20.79901	-17.35072	-14.71085	-10.74438	-9.01998	-6.3169	-3.24248
87.408	-26.96924	-24.12156	-20.91119	-17.54816	-14.75163	-11.12925	-9.1177	-6.18734	-3.28623
87.456	-26.98176	-24.12225	-20.90999	-17.73735	-14.74097	-11.54062	-9.28386	-6.13308	-3.32098
87.504	-27.00126	-24.11053	-20.79211	-17.79462	-14.82604	-11.77008	-9.34178	-6.03828	-3.19763
87.552	-26.9433	-24.01902	-20.53708	-17.79513	-14.936	-11.83425	-9.35948	-5.85433	-3.05621
87.6	-26.91758	-24.04422	-20.02455	-17.8239	-14.87576	-11.77425	-9.38321	-5.79349	-2.94862
87.648	-26.95641	-24.04455	-19.92799	-17.68179	-14.80945	-11.84217	-9.35893	-5.27619	-2.8711
87.696	-26.98806	-24.05363	-19.9178	-17.23076	-14.57912	-12.00259	-9.35207	-5.11495	-2.76393
87.744	-26.96605	-24.0217	-20.11973	-16.81452	-14.28651	-11.95565	-9.27501	-5.08501	-2.91077
87.792	-26.96517	-23.98135	-20.46294	-16.64655	-13.84664	-11.92405	-9.15273	-5.29116	-2.96229
87.84	-27.01808	-23.96559	-20.6993	-16.57015	-13.63674	-11.96339	-9.06715	-5.22203	-2.98412
87.888	-27.01215	-23.99993	-20.86921	-16.89519	-13.77171	-11.98832	-9.08091	-5.25794	-2.98333
87.936	-27.03171	-24.0729	-20.97426	-17.15342	-13.83654	-11.57653	-8.7522	-4.9923	-2.813
87.984	-27.02443	-24.06693	-21.01272	-17.46628	-14.02503	-11.35782	-8.62677	-4.97445	-2.56088
88.032	-26.978	-24.05618	-21.06429	-17.68369	-14.38548	-11.12258	-8.57237	-5.07	-2.49462
88.08	-26.97569	-23.9908	-21.08157	-17.74059	-14.6287	-10.80082	-8.24594	-5.14122	-2.54235
88.128	-26.95877	-23.66107	-21.05729	-17.85921	-14.78174	-10.8409	-8.06486	-5.49397	-2.57747
88.176	-26.91726	-23.58712	-21.0034	-17.85388	-14.7868	-10.6304	-8.16392	-5.76212	-2.61329
88.224	-26.96081	-23.80175	-21.04844	-17.66641	-14.70548	-10.60686	-8.26563	-6.06808	-2.7529
88.272	-26.96012	-23.86782	-21.09362	-17.25402	-14.72929	-10.82065	-8.38842	-6.1575	-3.03499
88.32	-26.95706	-23.66714	-21.08648	-16.73408	-14.8734	-11.07045	-8.38235	-6.09954	-3.19309
88.368	-26.96943	-23.64907	-21.05469	-16.57455	-14.80116	-11.48205	-8.63307	-6.00311	-3.20199
88.416	-26.961	-23.74846	-21.06568	-16.38184	-14.54135	-11.73898	-8.94158	-6.09375	-3.2904
88.464	-26.8655	-23.78395	-21.04988	-16.65999	-14.22632	-11.86618	-9.17831	-6.18225	-3.32737
88.512	-26.92106	-23.88525	-21.02198	-17.05088	-13.80674	-11.89625	-9.25703	-6.23841	-3.28196
88.56	-26.98389	-23.99122	-21.01827	-17.24382	-13.52539	-11.89583	-9.21969	-6.23845	-3.26528
88.608	-26.95108	-24.0332	-20.96374	-17.58555	-13.47808	-11.8672	-9.30842	-6.27246	-3.18405
88.656	-26.95252	-24.04923	-21.0217	-17.77419	-13.70842	-11.88684	-9.26853	-6.26565	-3.20009
88.704	-26.93412	-24.08977	-21.03547	-17.77511	-13.92509	-11.9487	-9.30791	-6.23956	-3.1032
88.752	-26.94269	-24.09408	-21.0249	-17.73415	-14.23864	-12.06398	-9.27126	-6.24647	-3.15166
88.8	-26.95683	-24.04237	-21.04673	-17.64764	-14.55901	-11.92048	-9.29382	-6.26194	-3.23521
88.848	-27.03838	-24.0021	-21.06494	-17.51192	-14.75394	-11.79051	-9.13619	-6.14522	-3.25235
88.896	-27.01966	-24.0312	-21.03111	-17.17562	-14.85959	-11.44211	-9.14388	-5.8256	-3.15644
88.944	-27.01507	-24.02977	-21.03028	-16.78542	-14.84703	-11.17193	-8.92151	-5.71212	-3.07099
88.992	-27.02712	-24.00243	-21.04126	-16.68446	-14.8892	-11.01058	-8.78413	-5.63344	-3.0058
89.04	-26.95312	-24.05289	-20.9845	-16.56676	-14.85672	-10.91573	-8.66815	-5.49397	-2.7845
89.088	-26.95933	-24.04923	-20.97954	-16.73251	-14.90884	-10.73109	-8.68298	-5.36743	-2.61774
89.136	-26.97341	-24.04154	-20.9724	-17.05843	-14.74296	-10.73011	-8.45626	-5.17254	-2.68321
89.184	-27.00094	-24.05687	-20.84058	-17.39062	-14.36847	-10.71844	-8.36479	-5.00805	-2.69933
89.232	-26.99848	-24.01461	-20.58856	-17.71993	-13.78487	-10.83001	-8.25363	-4.89615	-2.73131
89.28	-26.99093	-24.06957	-20.40131	-17.84795	-13.45529	-11.05748	-8.06305	-5.04257	-2.90293
89.328	-26.94473	-24.08528	-20.27083	-17.91987	-13.64424	-11.47839	-8.11828	-5.14451	-2.93954
89.376	-26.88065	-24.01818	-20.08113	-17.97023	-13.57358	-11.58876	-8.18116	-5.29709	-2.89617
89.424	-26.9154	-23.98658	-20.04137	-17.96263	-13.64462	-11.72226	-8.12245	-5.6245	-2.59753
89.472	-26.97647	-24.04534	-20.08572	-17.82251	-13.77347	-11.85149	-8.23231	-5.86642	-2.43531
89.52	-27.00219	-24.07935	-20.23714	-17.52411	-14.11812	-11.94305	-8.55908	-6.01493	-2.33666
89.568	-27.0292	-24.11178	-20.40998	-17.13493	-14.40948	-12.01158	-8.90062	-6.17307	-2.22207
89.616	-26.98537	-24.05219	-20.68934	-16.92383	-14.62717	-11.91747	-9.18174	-6.2656	-2.49634
89.664	-26.99584	-24.03806	-20.85392	-16.88963	-14.72693	-11.93146	-9.25532	-6.20542	-2.62793
89.712	-26.96739	-24.04927	-20.94446	-16.99889	-14.82456	-11.99587	-9.25379	-6.18577	-2.88825
89.76	-26.95298	-24.08023	-20.9864	-17.04921	-14.80051	-11.82906	-9.21756	-6.16038	-3.01928
89.808	-26.9989	-24.04107	-21.0236	-17.13971	-14.8961	-11.67615	-9.2518	-6.16015	-3.05816
89.856	-26.9755	-24.06813	-21.01994	-17.40938	-14.88994	-11.44225	-9.28988	-6.19814	-3.18354
89.904	-26.97758	-24.1021	-20.9901	-17.71006	-14.71368	-11.07921	-9.26658	-6.22793	-3.13702
89.952	-26.99473	-24.03746	-20.96666	-17.76594	-14.43497	-10.89289	-9.23215	-6.22627	-3.11432
90	-26.99621	-24.04418	-20.99372	-17.97992	-14.27589	-10.66742	-9.17942	-6.29823	-3.1317
90.048	-27.0059	-24.07513	-21.04529	-18.03367	-13.9243	-10.66862	-8.98374	-6.28025	-3.09463
90.096	-26.98347	-24.05873	-21.0932	-18.0256	-13.67765	-10.47522	-8.92499	-6.11474	-3.17789
90.144	-26.95039	-24.05511	-21.06943	-17.99535	-13.49588	-10.55913	-8.78677	-5.91216	-3.28145
90.192	-26.95127	-24.01628	-20.99571	-18.0003	-13.52169	-10.7739	-8.57228	-5.59012	-3.29841
90.24	-26.94232	-24.02903	-21.04052	-17.95823	-13.758	-11.23383	-8.36905	-5.5233	-3.26978
90.288	-26.95664	-24.05029	-21.03806	-18.05197	-14.01257	-11.46319	-8.36335	-5.52961	-3.35851
90.336	-26.9926	-24.03069	-21.01809	-18.07504	-14.17414	-11.53432	-8.17977	-5.60703	-3.38543
90.384	-26.97536	-24.0565	-21.01313	-18.04905	-14.40341	-11.72105	-8.05786	-5.46131	-3.29239
90.432	-26.97661	-24.05131	-21.01211	-18.01573	-14.59978	-11.81887	-7.91584	-5.26512	-2.95191
90.48	-26.99505	-24.07916	-20.97838	-18.02041	-14.73397	-11.8975	-8.04674	-5.07	-2.76671
90.528	-26.96405	-24.07555	-20.97078	-18.02736	-14.76567	-11.8811	-8.08714	-5.16559	-2.81304
90.576	-26.9584	-24.0787	-20.95104	-18.0408	-14.73986	-11.96589	-8.22194	-5.22054	-2.57895
90.624	-26.97337	-24.08871	-21.02073	-18.05623	-14.70788	-11.98887	-8.3406	-5.21957	-2.51816
90.672	-26.9913	-24.06415	-21.00257	-17.99678	-14.66873	-11.87577	-8.5386	-5.38355	-2.58155
90.72	-26.97444	-24.09728	-21.00817	-17.91996	-14.51439	-11.68792	-8.74122	-5.62784	-2.74085
90.768	-26.97675	-24.10094	-20.94442	-17.779	-14.25759	-11.57778	-9.01391	-5.65754	-2.8622
90.816	-26.966	-24.06804	-20.96323	-17.58226	-14.19634	-11.42608	-9.24322	-5.92244	-2.86596
90.864	-26.9686	-24.04937	-21.00196	-17.33645	-13.93	-11.40541	-9.277	-6.09013	-2.75939
90.912	-26.99061	-23.99298	-21.07518	-17.21561	-13.84455	-11.25913	-9.365	-6.21978	-2.47377
90.96	-27.00478	-24.01197	-21.07995	-17.24498	-13.85331	-10.98125	-9.4813	-6.34424	-2.30905
91.008	-26.94376	-24.03232	-21.04863	-17.11686	-13.92935	-10.82464	-9.42384	-6.28062	-2.24978
91.056	-26.98189	-24.03357	-20.97291	-17.05691	-13.98166	-10.91499	-9.37236	-6.29962	-2.24353
91.104	-26.94274	-24.07749	-20.92482	-17.09606	-14.23007	-10.86092	-9.38047	-6.25555	-2.3634
91.152	-26.88051	-24.07796	-20.96077	-17.25277	-14.39095	-10.77668	-9.33112	-6.31542	-2.60064
91.2	-26.7997	-24.04436	-21.00836	-17.37407	-14.65905	-10.91963	-9.15065	-6.32227	-2.90919
91.248	-26.82722	-24.06744	-20.99098	-17.4617	-14.83424	-11.0894	-8.79284	-6.31931	-3.11687
91.296	-26.942	-24.08926	-21.01239	-17.62104	-14.92993	-11.58339	-8.65119	-6.33636	-3.20991
91.344	-26.98454	-24.07175	-21.02768	-17.78781	-14.96788	-11.8829	-8.68826	-6.24489	-3.16677
91.392	-27.01924	-24.06489	-21.02592	-17.96694	-15.01454	-11.97979	-8.6037	-6.07234	-3.09083
91.44	-27.0078	-24.06229	-21.05571	-17.94289	-15.03339	-12.01301	-8.3602	-5.80683	-3.16881
91.488	-27.021	-24.06813	-21.03046	-17.96541	-14.98595	-12.01918	-8.15989	-5.64711	-3.1493
91.536	-27.04315	-24.07703	-21.03273	-17.97158	-14.90064	-11.99328	-8.02074	-5.62737	-3.17951
91.584	-27.00794	-24.0717	-21.01012	-18.0054	-14.75357	-12.04184	-7.91283	-5.44356	-3.13892
91.632	-26.97346	-24.07619	-21.02096	-18.05498	-14.628	-11.96177	-7.90602	-5.29964	-3.1007
91.68	-26.98704	-24.07277	-20.98908	-18.16466	-14.36972	-11.74121	-7.80422	-5.30956	-3.19652
91.728	-26.98315	-24.05544	-21.04181	-18.17147	-14.23303	-11.60961	-7.75445	-5.31641	-3.21556
91.776	-26.97624	-24.08509	-21.04353	-18.12643	-14.00794	-11.46264	-8.12653	-5.32994	-3.20389
91.824	-26.96517	-24.08542	-21.03417	-18.03876	-13.73997	-11.36389	-8.65485	-5.16615	-3.15825
91.872	-26.97346	-24.08125	-21.03338	-18.01597	-13.99936	-11.05502	-8.90066	-4.93702	-3.02067
91.92	-26.9546	-24.12244	-21.01726	-18.07305	-14.10543	-10.77334	-9.05927	-5.01417	-2.93342
91.968	-26.93593	-24.10798	-21.03468	-18.06012	-14.24939	-10.6727	-9.22932	-5.21517	-2.79947
92.016	-26.97745	-24.07564	-21.06781	-18.0807	-14.37853	-10.68614	-9.32728	-5.28185	-2.58938
92.064	-27.01465	-24.01888	-21.10066	-18.11536	-14.53464	-10.70356	-9.31259	-5.40932	-2.55467
92.112	-27.04037	-23.95549	-21.11118	-18.15423	-14.75019	-10.59393	-9.27441	-5.78941	-2.56176
92.16	-27.01609	-23.99432	-21.10307	-18.10748	-14.87479	-10.42527	-9.25685	-6.00775	-2.68733
92.208	-26.9628	-24.06521	-21.05043	-18.0744	-14.98141	-10.89586	-9.2771	-6.01938	-2.89005
92.256	-26.96605	-24.11007	-21.05646	-18.07393	-15.05397	-11.29611	-9.23234	-6.11627	-2.76495
92.304	-26.9648	-24.08704	-21.06966	-18.05248	-15.07969	-11.60924	-9.00446	-6.17859	-2.57645
92.352	-26.95015	-24.06406	-21.07657	-18.01495	-15.08501	-11.83875	-8.77065	-6.16181	-2.19381
92.4	-26.93695	-24.1033	-21.09325	-18.11276	-15.1016	-11.94801	-8.70156	-6.05265	-2.12648
92.448	-26.96711	-24.1122	-21.05122	-18.1098	-15.05628	-11.99457	-8.68923	-6.05733	-2.11184
92.496	-26.97851	-24.08551	-21.07532	-18.1199	-15.00272	-12.05768	-8.57409	-6.12275	-2.08321
92.544	-27.0021	-24.04951	-21.0256	-18.04947	-14.99382	-12.08859	-8.32137	-6.19119	-2.01162
92.592	-26.97457	-24.07865	-21.00641	-18.06267	-15.05244	-12.04429	-8.24376	-6.25384	-2.21888
92.64	-26.92319	-24.08259	-20.96777	-18.08737	-15.03831	-11.82396	-7.96227	-6.23136	-2.51709
92.688	-26.94144	-24.01531	-21.03394	-18.08232	-14.9543	-11.65655	-7.85973	-6.09171	-2.89242
92.736	-26.95553	-24.00058	-21.03843	-18.06814	-14.87692	-11.44447	-7.86371	-5.87606	-3.13568
92.784	-26.98403	-23.97546	-20.97699	-18.09909	-14.68777	-11.29054	-8.11856	-5.81642	-3.24638
92.832	-27.00747	-23.95934	-21.0388	-18.11462	-14.50989	-11.18147	-8.21633	-5.57918	-3.24378
92.88	-26.97101	-24.02814	-21.06494	-18.14557	-14.37255	-10.9863	-8.23088	-5.42285	-3.22418
92.928	-26.91489	-24.04992	-21.02648	-18.17457	-14.4402	-10.77469	-8.16198	-5.42039	-3.23322
92.976	-26.90859	-24.04024	-21.03371	-18.09363	-14.18095	-10.63225	-8.49263	-5.0788	-3.21941
93.024	-26.94311	-24.07189	-21.04816	-18.15219	-13.9812	-10.64902	-8.77185	-4.86232	-3.20064
93.072	-26.96702	-24.0585	-21.08824	-18.11568	-13.98162	-10.72849	-9.02739	-5.00907	-3.17164
93.12	-26.94427	-24.07026	-21.07068	-18.07592	-14.19087	-10.94548	-9.03606	-4.99711	-3.13494
93.168	-26.91994	-24.09209	-21.04631	-18.12305	-14.30207	-10.95957	-9.12247	-5.17032	-3.1544
93.216	-26.94663	-24.06957	-21.00433	-18.09594	-14.46318	-11.09315	-9.25453	-5.02561	-3.1866
93.264	-26.99037	-24.02953	-21.01605	-18.12106	-14.32112	-11.312	-9.29443	-5.09952	-3.15347
93.312	-27.01813	-24.05812	-21.03755	-18.15243	-14.41133	-11.61573	-9.33154	-5.2654	-3.00798
93.36	-26.95043	-24.0281	-21.03533	-18.19626	-14.55845	-11.86298	-9.34938	-5.22796	-2.78079
93.408	-26.94075	-24.01281	-21.01777	-18.2235	-14.80125	-11.94527	-9.21843	-5.31646	-2.67844
93.456	-26.90456	-24.01721	-21.04793	-18.20868	-14.96255	-11.89648	-9.11807	-5.66199	-2.55504
93.504	-26.91299	-24.03213	-21.06508	-18.10595	-15.11305	-11.90593	-9.01933	-6.00895	-2.48063
93.552	-26.91489	-24.00109	-21.11025	-18.05674	-15.12634	-11.90973	-8.81374	-6.13452	-2.45195
93.6	-26.89191	-24.04186	-21.08769	-18.07055	-15.10471	-11.96367	-8.65267	-6.16635	-2.41219
93.648	-26.89029	-24.03945	-21.07643	-18.09529	-15.10739	-11.96019	-8.43448	-6.16645	-2.57492
93.696	-26.88871	-24.01851	-21.05456	-18.10085	-15.12194	-11.88554	-8.23032	-6.16788	-2.54508
93.744	-26.95636	-24.04126	-21.05382	-18.00679	-15.12092	-11.71623	-8.07672	-6.18123	-2.40728
93.792	-26.99413	-24.00729	-21.01054	-18.00392	-15.09409	-11.53886	-7.9277	-6.24508	-2.58025
93.84	-26.96211	-24.01327	-21.00614	-18.02176	-15.17662	-11.52102	-7.82586	-6.27399	-2.52627
93.888	-26.97165	-24.06957	-21.00641	-18.06897	-15.16564	-11.33419	-7.79106	-6.22668	-2.32309
93.936	-26.93463	-24.05599	-21.08185	-18.07815	-15.22601	-11.17619	-7.97964	-6.18846	-2.35506
93.984	-26.9198	-24.03315	-21.10474	-18.0699	-15.23088	-10.9933	-8.17426	-6.0026	-2.27476
94.032	-26.93334	-24.06049	-21.1103	-18.1395	-15.11861	-10.8447	-8.15762	-5.88537	-2.19617
94.08	-26.96318	-24.01007	-21.09983	-18.13954	-15.07519	-10.79943	-8.21202	-5.74535	-2.32781
94.128	-26.91068	-24.02073	-21.02272	-18.11652	-15.06286	-10.88158	-8.36674	-5.65671	-2.42266
94.176	-26.90725	-23.97857	-21.06558	-18.04493	-15.04882	-10.97977	-8.53359	-5.49008	-2.56403
94.224	-26.93343	-24.0306	-21.09672	-18.02505	-15.05003	-11.08449	-8.68455	-5.52381	-2.77088
94.272	-26.93042	-24.05877	-21.0116	-18.04006	-15.09099	-11.18634	-8.80716	-5.25965	-2.9615
94.32	-26.90831	-24.01341	-20.96953	-18.02458	-15.06222	-11.38099	-9.01238	-4.84712	-3.12521
94.368	-26.88769	-23.98941	-21.00071	-18.04766	-15.151	-11.56949	-9.13202	-4.79249	-3.1664
94.416	-26.90257	-23.94873	-21.0021	-18.0686	-15.20609	-11.78194	-9.1342	-4.85305	-3.14467
94.464	-26.91614	-23.92134	-21.05567	-18.06226	-15.21568	-11.94448	-9.05093	-4.78198	-3.15306
94.512	-26.92189	-23.98621	-21.00933	-18.11304	-15.20609	-12.07376	-9.11765	-4.97427	-3.16946
94.56	-26.98023	-24.01378	-20.98528	-18.11619	-15.16059	-12.08446	-9.13855	-4.98697	-3.22098
94.608	-27.01002	-23.99997	-21.01346	-18.1749	-15.16782	-12.12153	-8.97911	-5.00073	-3.23234
94.656	-27.03171	-23.96777	-21.02875	-18.13649	-15.17314	-12.10925	-8.68034	-5.10559	-3.10871
94.704	-27.03384	-24.01517	-21.04872	-18.0706	-15.16091	-12.02622	-8.66857	-5.36345	-3.09439
94.752	-26.97893	-24.04937	-21.06322	-18.11772	-15.14947	-11.9968	-8.66277	-5.4879	-3.14791
94.8	-26.95432	-23.99983	-21.02912	-18.11086	-15.11893	-11.93726	-8.58067	-5.53039	-3.03355
94.848	-26.9736	-24.03398	-21.06077	-18.05127	-15.09229	-11.91548	-8.39671	-5.66908	-2.92652
94.896	-26.99116	-23.98857	-21.09547	-18.00517	-15.14168	-11.84824	-8.21985	-5.84455	-2.81035
94.944	-26.9654	-24.00567	-21.09186	-17.95754	-15.14673	-11.61911	-8.05874	-5.91053	-2.66745
94.992	-26.98625	-24.04436	-21.06929	-18.00679	-15.14872	-11.64928	-7.94156	-5.97415	-2.59911
95.04	-27.02601	-24.04714	-21.05627	-18.05053	-15.1604	-11.59882	-7.91033	-6.0064	-2.47002
